,Title,ItemLink,Merchant,ItemPrice,Delivery
34,"Apple iPhone 11 (64GB, Purple) - Grade (Excellent)",https://www.google.com/url?url=https://www.kogan.com/au/buy/eclipsetechnology-apple-iphone-11-4g-lte-64gb-purple-used-as-demo-ip1164gbpurple-exd/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECNsQ&usg=AOvVaw083_WeiMjh4s0vL7jArUZ7,Kogan.com,$569.00,Free delivery
35,"Apple iPhone 11 Australian Stock (64GB, Black) - As New Afterpay, Zip, Openpay ...",https://www.google.com/url?url=https://www.mydeal.com.au/apple-iphone-11-australian-stock-64gb-black-as-new-6903447&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECOkQ&usg=AOvVaw07jDgkkJ7YJIFcAzsF85vF,MyDeal,$823.00,Free delivery
36,"Apple iPhone 11 64GB Black (Refurbished, B Grade)",https://www.google.com/url?url=https://www.kogan.com/au/buy/digitalstore-apple-iphone-11-64gb-black-excellent-grade-apple-iphone-11-64gb-black-exl/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECPcQ&usg=AOvVaw3SsA82moQIABYnvrwaL4gz,Kogan.com,$569.00,Free delivery
37,Apple iPhone 11 | Refurbished 64GB / Green / Good by Green Gadgets,https://www.google.com/url?url=https://shop.greengadgets.net.au/products/apple-iphone-11%3Fvariant%3D32474004062311%26currency%3DAUD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECIUR&usg=AOvVaw1D1tBgt8M0qAE1za_cYYFt,Green Gadgets,$539.00,Free delivery
38,Apple 64GB iPhone 11 Mwlx2x/A A2221 64GB Purple,https://www.google.com/url?url=https://www.cashconverters.com.au/shop/phones-cameras-computers/phones/smartphones/apple-iphone/017000134890&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECJMR&usg=AOvVaw0TzFkLiZbiuatMeE5x4S2R,Cash Converters,$719.00,$17.95 delivery
39,"Apple iPhone 11 (64GB, Black) - Refurbished (Excellent)",https://www.google.com/url?url=https://www.ozsale.com.au/product.aspx%3FsaleID%3D5a93862c-8baa-42b2-a4ed-1332358f53d9%26productID%3D3f08506d-1ec7-4b67-a27b-86090c57c1a7%26sc%3D7%26c%3D1203&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECKER&usg=AOvVaw2rMZjwcUjCXwDX6BVEOd6Y,Ozsale,$568.00,Free delivery
40,Apple Iphone 11 - 64gb - Black (unlocked) A2111 Cdma + Gsm - No Face,https://www.google.com/url?url=https://www.ebay.com.au/itm/294574686536%3Fchn%3Dps%26_ul%3DAU%26mkevt%3D1%26mkcid%3D28&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECK8R&usg=AOvVaw2_3DHAI0Ef9Hply2lUONDC,eBay.com.au - mobiletopdeal,$394.28 + tax,Free delivery
41,50% Off iPhone 11 64GB Purple. $11.62/Mth Over 36 Mths + $45/Mth SIM Plan. Min ...,https://www.google.com/url?url=https://www.optus.com.au/mobile/phones/apple/iphone-11%3Fcapacity%3D64GB%26colour%3Dpurple%26contractLength%3D36%26planId%3D33656633&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECL4R&usg=AOvVaw2sU_Fh7lk6UCNbvZiP2JK9,Optus,$881.92,Free delivery
42,Apple iPhone 11 - 64GB - White - Brand New,https://www.google.com/url?url=https://www.reebelo.com.au/collections/apple-iphone-11%3Fstorage%3D64GB%26color%3DWhite%26condition%3DBrand%2520New%26id%3D6758f&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECMwR&usg=AOvVaw112hW4oCeFEzkio8ZZIFvF,Reebelo Australia,$840.00,Free delivery and free 14-day returns
43,"Apple iPhone 11 64GB -Good Condition (Refurbished) Afterpay, Zip, Openpay ...",https://www.google.com/url?url=https://www.mydeal.com.au/apple-iphone-11-64gb-good-condition-refurbished-4872291&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECNkR&usg=AOvVaw1awKu02WgJW5uc5RvqkR0B,MyDeal,$535.00,Free delivery
44,iPhone 11 64GB,https://www.google.com/url?url=https://www.alloallo.com/au/refurbished-iphone/iphone-11/64-gb/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECOcR&usg=AOvVaw3sk07_5j6kUng6p8BwQI1F,alloallo.com,$589.90,Free delivery
45,"Apple iPhone 11 Pro (64GB, Silver)",https://www.google.com/url?url=https://www.dicksmith.com.au/da/buy/spz-apple-iphone-11-pro-refurbished-apiphone11prorefgd64gbsilver/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQguUECPgR&usg=AOvVaw0OAciwXNxuL9PeWGo_nyO1,Dick Smith AU,$718.50,Free delivery
46,Apple iPhone 11 64GB -NO FACE ID- Very Good Condition (Refurbished) Purple,https://www.google.com/url?url=https://www.kogan.com/au/buy/cellmate-apple-iphone-11-64gb-no-face-id-very-good-condition-refurbished-purple-cll-cmcobrg-app1164gbpur/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECIcS&usg=AOvVaw3FKUMe05FaAkHbvtLGnu4w,Kogan.com,$539.00,Free delivery
47,Apple iPhone 11 64GB -Good Condition (Refurbished) Red,https://www.google.com/url?url=https://www.kogan.com/au/buy/cellmate-apple-iphone-11-64gb-fair-condition-refurbished-red-cll-cmcof-app1164gbrd/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECJUS&usg=AOvVaw12Vf-f8A15X36yLvNdD8f0,Kogan.com,$549.00,Free delivery
48,Apple iPhone 11 64GB Purple - Refurbished Grade A - AfterPay & zipPay Available,https://www.google.com/url?url=https://www.catch.com.au/product/apple-iphone-11-64gb-purple-refurbished-grade-a-6920382/%3Foffer_id%3D48756449%26ref%3Dgmc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECKQS&usg=AOvVaw2nDn5NQ6vX7P6dRYUwRqpK,Catch.com.au,$599.00,Free delivery
49,Apple Iphone 11 64gb Green Unlocked Good Condition,https://www.google.com/url?url=https://www.ebay.com.au/itm/294363110240%3Fchn%3Dps%26_ul%3DAU%26mkevt%3D1%26mkcid%3D28&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECLIS&usg=AOvVaw1F3V6IdOjndRvyIehYbU8Q,eBay.com.au - itsworthmore,$463.46 + tax,Free delivery
50,"Apple iPhone 11 64GB White (Refurbished, B Grade)",https://www.google.com/url?url=https://www.kogan.com/au/buy/digitalstore-apple-iphone-11-64gb-white-excellent-grade-apple-iphone-11-64gb-white-exl/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECMES&usg=AOvVaw2y2ICLbLNCr-kPD75E7iZU,Kogan.com,$569.00,Free delivery
51,Apple iPhone 11 | Refurbished 64GB / Yellow / Good by Green Gadgets,https://www.google.com/url?url=https://shop.greengadgets.net.au/products/apple-iphone-11%3Fvariant%3D32474004684903%26currency%3DAUD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECM8S&usg=AOvVaw2GAjaLOF6jLGwPDBqpBbU1,Green Gadgets,$539.00,Free delivery
52,Apple iPhone 11-64GB-Purple-Fair,https://www.google.com/url?url=https://wisemarket.com.au/collection/product/apple-iphone-11/inventory/948/ZM&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECN0S&usg=AOvVaw19mWbSEIhjG0UGrhmR1QWv,Wise Market Australia,$519.00,Free delivery
53,Apple iPhone 11 64GB - Purple,https://www.google.com/url?url=https://skyphonez.com.au/product/apple-iphone-11-64gb-refurbished-good-condition-purple/%3Futm_source%3DGoogle%2BShopping%26utm_medium%3Dcpc%26utm_campaign%3DGoogle%2BFeed%2B&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECOsS&usg=AOvVaw0VuqmrWV95EryBA-sxtFlQ,Skyphonez.com.au,$686.00,Free delivery
54,Apple iPhone 11 Pro A2215 64GB Matte Space Gray (Great Condition) AU Model,https://www.google.com/url?url=https://www.certifiedtechdirect.com/apple-iphone-11-pro-a2215-64gb-matte-space-grey-go&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECPwS&usg=AOvVaw2P5G3-X3F-S1UGKTisn1Jd,CertifiedTechDirect,$689.00,Free delivery
55,"Apple iPhone 11 64GB Physical Dual Sim [Brand New, International Model] - Black",https://www.google.com/url?url=https://www.kogan.com/au/buy/apple-iphone-11-64gb-black-free-express-post-00190199220539/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECIsT&usg=AOvVaw0bmVaxmYbC0gKT4IQBOk4R,Kogan.com,$840.00,Free delivery
56,Apple iPhone 11 Mwlt2x/A 64GB Black,https://www.google.com/url?url=https://www.cashconverters.com.au/shop/phones-cameras-computers/phones/smartphones/apple-iphone/028600253619&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECJgT&usg=AOvVaw2CcOOahoYoU_C5DeULtyFv,Cash Converters,$799.00,$17.95 delivery
57,Apple iPhone 11 64GB - Red,https://www.google.com/url?url=https://www.kogan.com/au/buy/threesons-apple-iphone-11-64gb-red-ap-iphone1164gbredbn/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECKcT&usg=AOvVaw3I6-HHEzw2P08R60mJ7WdY,Kogan.com,$840.00,Free delivery
58,Apple iPhone 11 64GB Yellow - Refurbished (Good),https://www.google.com/url?url=https://www.kogan.com/au/buy/aualg-apple-iphone-11-64gb-yellow-refurbished-fair-iph1164ylwd/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECLQT&usg=AOvVaw2j8iYnq73Jtm-86vRSjPHk,Kogan.com,$549.00,Free delivery
59,"Original Apple iPhone 11 Pro 5.8"" RAM 4GB ROM 64/256/512GB A13 IOS iPhone11 Pro ...",https://www.google.com/url?url=https://meekystore.com/product/original-apple-iphone-11-pro-5-8-ram-4gb-rom-64-256-512gb-a13-ios-iphone11-pro-4g-lte-single-sim-cell-phone/%3Fattribute_pa_bundle%3D11-pro-64gb%26attribute_pa_color%3Dgold%26srsltid%3DAWLEVJxt3wQjatG56jZCvMoSgQzBx3YfGOy58pt8WDQxz8PTDlSuPogwyhg&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECMMT&usg=AOvVaw0aub7JBAYBJyCevA_nOb__,Meeky Store,$899.34 + tax,Free delivery
60,"Apple iPhone 11 (64GB, Purple) Australian Stock - Refurbished (Excellent ...",https://www.google.com/url?url=https://www.mydeal.com.au/apple-iphone-11-64gb-purple-australian-stock-refurbished-excellent-7603598&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECNIT&usg=AOvVaw0fpZWy4zlQwGCTmN7U1ON7,MyDeal,$588.00,Free delivery
61,Apple iPhone 11 (4G) 64GB Refurbished,https://www.google.com/url?url=https://www.kogan.com/au/buy/celltrex-apple-iphone-11-4g-64gb-refurbished-v2i1164blkc/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECOET&usg=AOvVaw16XJ-uWXO4kn6QBkdH_EPS,Kogan.com,$640.00,Free delivery
